Song name,Song link
Dilliwaali Girlfriend (Yeh Jawaani Hai Deewani),https://youtu.be/1cDoRqPnCXU
Tooh (Gori Tere Pyaar Mein),https://youtu.be/91kbNw9DZBg
Abhi Toh Party Shuru Hui Hai (Khoobsurat),https://youtu.be/8LZgzAZ2lpQ
Bom Diggy Diggy (Sonu Ke Titu Ki Sweety),https://youtu.be/yIIGQB6EMAM
London Thumakda (Queen),https://youtu.be/udra3Mfw2oo
Badtameez Dil (Yeh Jawaani Hai Deewani),https://youtu.be/II2EO3Nw4m0
Shaam Shaandaar (Shaandaar),https://youtu.be/D21Di3NXcYM
Fevicol Se (Dabangg 2),https://youtu.be/zE7Pwgl6sLA
First Class (Kalank),https://youtu.be/e8B0AzmXPV8
Slow Motion (Bharat),https://youtu.be/8AedZtuoVSg
Despicable Me 2,https://youtu.be/Mdr8vI37MvY?si=7_5XiT3bKrkbKxQk
Happy Face,https://youtu.be/LBNWehxbS2M?si=tnlH-MvvfpX-uTV_
Born to shine,https://youtu.be/iLHEGrNVf5Y?si=9glNZXto7Y_HZJMh
Nashe si chadh gayi,https://youtu.be/HoCwa6gnmM0?si=LfTCsE6rX-w-N5tN
Hauli Hauli,https://youtu.be/leyEatUq00E?si=aTunIb4DFPA71U9q
Ishare Tere,https://youtu.be/8nGFWWJLHio?si=aEv0JOGXv_3OnLua
Naach meri rani,https://youtu.be/TCx1yMegJ4A?si=8QAyBsRecfrnmvyR
Dance Meri Rani,https://youtu.be/G-XMiVMlLRI?si=1cnN4FYhWsRk3xKN
Proper Patola,https://youtu.be/YmXJp4RtBCM?si=XufZYQYcmEI24fxM
Morni Banke,https://youtu.be/1EadhOBcfI0?si=WTSRbfGCTN1k-eRQ
